S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
167,Daulat Ram College (W),B.Sc (Hons.) Botany,2,1,0,0,0,0,3
168,Daulat Ram College (W),B.Sc (Hons.) Chemistry,0,0,0,2,0,0,1
169,Daulat Ram College (W),B.Sc (Hons.) Physics,1,2,1,3,1,0,2
170,Daulat Ram College (W),B.Sc (Hons.) Mathematics,0,0,1,0,0,0,3
171,Daulat Ram College (W),B.Sc (Hons.) Zoology,2,0,0,1,3,0,1
172,Daulat Ram College (W),B.Sc (Prog.) Life Science,0,0,0,0,0,0,4
173,Daulat Ram College (W),B.Com (Hons.),2,0,0,1,0,0,0
174,Daulat Ram College (W),B.Com,0,0,0,0,0,0,3
175,Daulat Ram College (W),B.A Program (Sanskrit + Music),1,5,3,2,2,0,1
176,Daulat Ram College (W),B.A Program (Economics + Mathematics),1,0,0,0,1,0,1
177,Daulat Ram College (W),B.A Program (History + Political Science),1,0,1,0,0,0,1
178,Daulat Ram College (W),B.A Program (Music + Nutrition And Health Education(NHE)),4,1,1,1,1,0,1
179,Daulat Ram College (W),B.A Program (Philosophy + Psychology),1,0,0,0,0,0,1
180,Daulat Ram College (W),B.A Program (Physical Education + Political Science),0,1,0,0,0,0,1
181,Daulat Ram College (W),B.A Program (Hindi + Physical Education),1,2,3,1,1,0,1
182,Daulat Ram College (W),B.A Program (English + History),0,0,0,0,0,0,0
183,Daulat Ram College (W),B.A Program (Entrepreneurship And Small Business + Nutrition And Health Education),0,0,0,0,0,0,0
184,Deen Dayal Upadhyaya College,B.A. (Hons.) English,0,0,0,0,0,0,1
185,Deen Dayal Upadhyaya College,Bachelor of Management Studies (BMS),1,0,0,0,0,0,0
186,Deen Dayal Upadhyaya College,B.Com (Hons.),0,0,0,0,0,0,5
187,Deen Dayal Upadhyaya College,B.Sc (Hons.) Botany,2,0,0,0,1,0,2
188,Deen Dayal Upadhyaya College,B.Sc (Hons.) Chemistry,2,1,0,3,1,0,2
189,Deen Dayal Upadhyaya College,B.Sc (Hons.) Computer Science,4,2,0,0,0,0,2
190,Deen Dayal Upadhyaya College,B.Sc (Hons.) Electronics,2,4,2,5,3,0,3
191,Deen Dayal Upadhyaya College,B.Sc (Hons.) Mathematics,6,1,2,1,1,0,4
192,Deen Dayal Upadhyaya College,B.Sc (Hons.) Physics,3,2,1,5,3,0,3
193,Deen Dayal Upadhyaya College,B.Sc (Hons.) Zoology,0,0,0,0,0,0,2
194,Deen Dayal Upadhyaya College,B.Sc (Prog.) Life Science,0,0,0,1,0,0,2
195,Deen Dayal Upadhyaya College,B.Sc (Prog.) Mathematical Sciences,0,0,0,2,0,0,2
196,Deen Dayal Upadhyaya College,B.Sc (Prog.) Physical Science with Chemistry,5,2,0,1,1,0,2
197,Deen Dayal Upadhyaya College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,0,0,0,1,0,0,2
198,Deen Dayal Upadhyaya College,B.A Program (Economics + History),0,0,0,1,1,0,2
