S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
1130,Zakir Husain Delhi College (Evening),B.A Program (Bengali + Political Science),0,2,1,0,0,0,0
1131,Zakir Husain Delhi College (Evening),B.A Program (English + Economics),0,0,0,0,0,0,0
1132,Zakir Husain Delhi College (Evening),B.A Program (English + History),0,0,0,1,0,0,0
1133,Zakir Husain Delhi College (Evening),B.A Program (English + Political Science),0,0,0,0,0,0,1
1134,Zakir Husain Delhi College (Evening),B.A Program (Hindi + Economics),0,1,0,1,0,0,1
1135,Zakir Husain Delhi College (Evening),B.A Program (Hindi + History),0,0,0,0,1,0,1
1136,Zakir Husain Delhi College (Evening),B.A Program (Hindi + Political Science),0,0,0,0,1,0,0
1137,Zakir Husain Delhi College (Evening),B.A Program (Persian + Economics),2,1,1,0,1,0,0
1138,Zakir Husain Delhi College (Evening),B.A Program (Persian + History),0,1,1,0,1,0,0
1139,Zakir Husain Delhi College (Evening),B.A Program (Persian + Political Science),0,1,0,0,1,0,0
1140,Zakir Husain Delhi College (Evening),B.A Program (Sanskrit + Economics),1,2,1,0,1,0,0
1141,Zakir Husain Delhi College (Evening),B.A Program (Sanskrit + History),0,1,1,0,1,0,0
1142,Zakir Husain Delhi College (Evening),B.A Program (Sanskrit + Political Science),0,1,1,0,1,0,1
1143,Zakir Husain Delhi College (Evening),B.A Program (Urdu + Economics),0,0,1,0,1,0,0
1144,Zakir Husain Delhi College (Evening),B.A Program (Urdu + History),0,0,1,0,1,0,0
1145,Zakir Husain Delhi College (Evening),B.A Program (Urdu + Political Science),0,0,1,1,1,0,0
1146,Zakir Husain Delhi College (Evening),B.A Program (Economics + History),5,2,0,1,0,0,1
1147,Zakir Husain Delhi College (Evening),B.A Program (Economics + Human Resource Management (HRM)),1,0,1,1,0,0,1
1148,Zakir Husain Delhi College (Evening),B.A Program (Economics + Mathematics),4,2,0,2,0,0,1
1149,Zakir Husain Delhi College (Evening),B.A Program (Economics + Philosophy),1,1,0,1,0,0,1
1150,Zakir Husain Delhi College (Evening),B.A Program (Economics + Political Science),6,1,0,1,0,0,0
1151,Zakir Husain Delhi College (Evening),B.A Program (History + Political Science),0,0,0,0,0,0,1
1152,Zakir Husain Delhi College (Evening),B.A Program (Philosophy + Political Science),1,1,0,0,0,0,1
1153,Zakir Husain Delhi College (Evening),B.A Program (English + Philosophy),0,1,0,0,0,0,0
1154,Zakir Husain Delhi College (Evening),B.A Program (Banking and Insurance + Economics),1,2,2,1,1,0,1
